brand,model,issue_type,part_name,tier,price,labor,compatible_models,warranty,turnaround,source_hub
Apple,iPhone 14 Pro,Motherboard,Logic Board Repair,Premium (OEM),19600,2000,,12 months,1-2 days,Dharampeth Hub
Apple,iPhone 14 Pro,Motherboard,Logic Board Repair,Standard (HQ),10800,2000,,6 months,1-2 days,"Modi No. 3, Sitabuldi"
Apple,iPhone 14 Pro,Motherboard,Logic Board Repair,Compatible (Budget),5900,2000,,1-3 months,1-2 days,Rahul Bazar
Apple,iPhone 14 Pro,Buttons/Flex,Power/Volume Flex,Premium (OEM),2450,350,,12 months,1 hour,Dharampeth Hub
Apple,iPhone 14 Pro,Buttons/Flex,Power/Volume Flex,Standard (HQ),1350,350,,6 months,1 hour,Dharampeth Hub
Apple,iPhone 14 Pro,Buttons/Flex,Power/Volume Flex,Compatible (Budget),750,350,Universal Apple family,1-3 months,1 hour,Telipura Market
Apple,iPhone 14 Pro,Water damage,Water Damage Service,Premium (OEM),4900,1000,,Testing Only,5-6 hours,"Modi No. 3, Sitabuldi"
Apple,iPhone 14 Pro,Water damage,Water Damage Service,Standard (HQ),2700,1000,,Testing Only,5-6 hours,Telipura Market
Apple,iPhone 14 Pro,Water damage,Water Damage Service,Compatible (Budget),1450,1000,,,5-6 hours,Telipura Market
Apple,iPhone 13,Screen,Display Assembly,Premium (OEM),16500,800,,12 months,1-2 hours,"Modi No. 3, Sitabuldi"
Apple,iPhone 13,Screen,Display Assembly,Standard (HQ),9100,800,,6 months,1-2 hours,"Modi No. 3, Sitabuldi"
Apple,iPhone 13,Screen,Display Assembly,Compatible (Budget),4950,800,,1 month,1-2 hours,Telipura Market
Apple,iPhone 13,Battery,Li-ion Battery,Premium (OEM),4950,400,,12 months,45 mins,"Modi No. 3, Sitabuldi"
Apple,iPhone 13,Battery,Li-ion Battery,Standard (HQ),2700,400,,6 months,45 mins,Telipura Market
Apple,iPhone 13,Battery,Li-ion Battery,Compatible (Budget),1500,400,,1-3 months,45 mins,Telipura Market
Apple,iPhone 13,Charging port,USB/Charging Sub-board,Premium (OEM),2500,400,,12 months,1 hour,Telipura Market
Apple,iPhone 13,Charging port,USB/Charging Sub-board,Standard (HQ),1350,400,,6 months,1 hour,"Modi No. 3, Sitabuldi"
Apple,iPhone 13,Charging port,USB/Charging Sub-board,Compatible (Budget),750,400,Universal Apple family,1-3 months,1 hour,Dharampeth Hub
Apple,iPhone 13,Back Glass,Rear Panel,Premium (OEM),4100,500,,12 months,2-3 hours,Telipura Market
Apple,iPhone 13,Back Glass,Rear Panel,Standard (HQ),2250,500,,6 months,2-3 hours,Rahul Bazar
Apple,iPhone 13,Back Glass,Rear Panel,Compatible (Budget),1250,500,,,2-3 hours,Telipura Market
Apple,iPhone 13,Camera,Camera Module,Premium (OEM),9900,500,,12 months,1-2 hours,Dharampeth Hub
Apple,iPhone 13,Camera,Camera Module,Standard (HQ),5450,500,,6 months,1-2 hours,Rahul Bazar
Apple,iPhone 13,Camera,Camera Module,Compatible (Budget),2950,500,,1-3 months,1-2 hours,Dharampeth Hub
Apple,iPhone 13,Speaker/Mic,Loudspeaker/Mic Flex,Premium (OEM),1650,350,,12 months,45 mins,"Modi No. 3, Sitabuldi"
Apple,iPhone 13,Speaker/Mic,Loudspeaker/Mic Flex,Standard (HQ),900,350,,6 months,45 mins,Telipura Market
Apple,iPhone 13,Speaker/Mic,Loudspeaker/Mic Flex,Compatible (Budget),500,350,Universal Apple family,1-3 months,45 mins,Dharampeth Hub
Apple,iPhone 13,Motherboard,Logic Board Repair,Premium (OEM),13200,2000,,12 months,1-2 days,Telipura Market
Apple,iPhone 13,Motherboard,Logic Board Repair,Standard (HQ),7250,2000,,6 months,1-2 days,Rahul Bazar
Apple,iPhone 13,Motherboard,Logic Board Repair,Compatible (Budget),3950,2000,,1-3 months,1-2 days,"Modi No. 3, Sitabuldi"
Apple,iPhone 13,Buttons/Flex,Power/Volume Flex,Premium (OEM),1650,350,,12 months,1 hour,"Modi No. 3, Sitabuldi"
Apple,iPhone 13,Buttons/Flex,Power/Volume Flex,Standard (HQ),900,350,,6 months,1 hour,Rahul Bazar
Apple,iPhone 13,Buttons/Flex,Power/Volume Flex,Compatible (Budget),500,350,Universal Apple family,1-3 months,1 hour,"Modi No. 3, Sitabuldi"
Apple,iPhone 13,Water damage,Water Damage Service,Premium (OEM),3300,1000,,Testing Only,5-6 hours,Rahul Bazar
Apple,iPhone 13,Water damage,Water Damage Service,Standard (HQ),1800,1000,,Testing Only,5-6 hours,Rahul Bazar
Apple,iPhone 13,Water damage,Water Damage Service,Compatible (Budget),1000,1000,,,5-6 hours,"Modi No. 3, Sitabuldi"
Apple,iPhone 12,Screen,Display Assembly,Premium (OEM),13500,800,,12 months,1-2 hours,Rahul Bazar
Apple,iPhone 12,Screen,Display Assembly,Standard (HQ),7450,800,,6 months,1-2 hours,Telipura Market
Apple,iPhone 12,Screen,Display Assembly,Compatible (Budget),4050,800,,1 month,1-2 hours,Rahul Bazar
Apple,iPhone 12,Battery,Li-ion Battery,Premium (OEM),4050,400,,12 months,45 mins,Rahul Bazar
Apple,iPhone 12,Battery,Li-ion Battery,Standard (HQ),2250,400,,6 months,45 mins,Telipura Market
Apple,iPhone 12,Battery,Li-ion Battery,Compatible (Budget),1200,400,,1-3 months,45 mins,Telipura Market
Apple,iPhone 12,Charging port,USB/Charging Sub-board,Premium (OEM),2000,400,,12 months,1 hour,Dharampeth Hub
Apple,iPhone 12,Charging port,USB/Charging Sub-board,Standard (HQ),1100,400,,6 months,1 hour,"Modi No. 3, Sitabuldi"
Apple,iPhone 12,Charging port,USB/Charging Sub-board,Compatible (Budget),600,400,Universal Apple family,1-3 months,1 hour,Dharampeth Hub
Apple,iPhone 12,Back Glass,Rear Panel,Premium (OEM),3400,500,,12 months,2-3 hours,Telipura Market
Apple,iPhone 12,Back Glass,Rear Panel,Standard (HQ),1850,500,,6 months,2-3 hours,Dharampeth Hub
Apple,iPhone 12,Back Glass,Rear Panel,Compatible (Budget),1000,500,,,2-3 hours,"Modi No. 3, Sitabuldi"
Apple,iPhone 12,Camera,Camera Module,Premium (OEM),8100,500,,12 months,1-2 hours,"Modi No. 3, Sitabuldi"
Apple,iPhone 12,Camera,Camera Module,Standard (HQ),4450,500,,6 months,1-2 hours,Rahul Bazar
Apple,iPhone 12,Camera,Camera Module,Compatible (Budget),2450,500,,1-3 months,1-2 hours,Dharampeth Hub
Apple,iPhone 12,Speaker/Mic,Loudspeaker/Mic Flex,Premium (OEM),1350,350,,12 months,45 mins,Dharampeth Hub
Apple,iPhone 12,Speaker/Mic,Loudspeaker/Mic Flex,Standard (HQ),750,350,,6 months,45 mins,Telipura Market
Apple,iPhone 12,Speaker/Mic,Loudspeaker/Mic Flex,Compatible (Budget),400,350,Universal Apple family,1-3 months,45 mins,Dharampeth Hub
Apple,iPhone 12,Motherboard,Logic Board Repair,Premium (OEM),10800,2000,,12 months,1-2 days,Telipura Market
Apple,iPhone 12,Motherboard,Logic Board Repair,Standard (HQ),5950,2000,,6 months,1-2 days,Rahul Bazar
Apple,iPhone 12,Motherboard,Logic Board Repair,Compatible (Budget),3250,2000,,1-3 months,1-2 days,Dharampeth Hub
Apple,iPhone 12,Buttons/Flex,Power/Volume Flex,Premium (OEM),1350,350,,12 months,1 hour,Dharampeth Hub
Apple,iPhone 12,Buttons/Flex,Power/Volume Flex,Standard (HQ),750,350,,6 months,1 hour,Dharampeth Hub
Apple,iPhone 12,Buttons/Flex,Power/Volume Flex,Compatible (Budget),400,350,Universal Apple family,1-3 months,1 hour,"Modi No. 3, Sitabuldi"
Apple,iPhone 12,Water damage,Water Damage Service,Premium (OEM),2700,1000,,Testing Only,5-6 hours,Telipura Market
Apple,iPhone 12,Water damage,Water Damage Service,Standard (HQ),1500,1000,,Testing Only,5-6 hours,Rahul Bazar
Apple,iPhone 12,Water damage,Water Damage Service,Compatible (Budget),800,1000,,,5-6 hours,"Modi No. 3, Sitabuldi"
Apple,iPhone 11,Screen,Display Assembly,Premium (OEM),6500,800,,12 months,1-2 hours,Dharampeth Hub
Apple,iPhone 11,Screen,Display Assembly,Standard (HQ),3600,800,,6 months,1-2 hours,Rahul Bazar
Apple,iPhone 11,Screen,Display Assembly,Compatible (Budget),1950,800,,1 month,1-2 hours,Rahul Bazar
Apple,iPhone 11,Battery,Li-ion Battery,Premium (OEM),1950,400,,12 months,45 mins,Dharampeth Hub
Apple,iPhone 11,Battery,Li-ion Battery,Standard (HQ),1050,400,,6 months,45 mins,Telipura Market
Apple,iPhone 11,Battery,Li-ion Battery,Compatible (Budget),600,400,,1-3 months,45 mins,Rahul Bazar
Apple,iPhone 11,Charging port,USB/Charging Sub-board,Premium (OEM),1000,400,,12 months,1 hour,Dharampeth Hub
Apple,iPhone 11,Charging port,USB/Charging Sub-board,Standard (HQ),550,400,,6 months,1 hour,"Modi No. 3, Sitabuldi"
Apple,iPhone 11,Charging port,USB/Charging Sub-board,Compatible (Budget),300,400,Universal Apple family,1-3 months,1 hour,Rahul Bazar
Apple,iPhone 11,Back Glass,Rear Panel,Premium (OEM),1600,500,,12 months,2-3 hours,Rahul Bazar
Apple,iPhone 11,Back Glass,Rear Panel,Standard (HQ),900,500,,6 months,2-3 hours,Telipura Market
Apple,iPhone 11,Back Glass,Rear Panel,Compatible (Budget),500,500,,,2-3 hours,Dharampeth Hub
Apple,iPhone 11,Camera,Camera Module,Premium (OEM),3900,500,,12 months,1-2 hours,Rahul Bazar
Apple,iPhone 11,Camera,Camera Module,Standard (HQ),2150,500,,6 months,1-2 hours,Dharampeth Hub
Apple,iPhone 11,Camera,Camera Module,Compatible (Budget),1150,500,,1-3 months,1-2 hours,Dharampeth Hub
Apple,iPhone 11,Speaker/Mic,Loudspeaker/Mic Flex,Premium (OEM),650,350,,12 months,45 mins,Rahul Bazar
Apple,iPhone 11,Speaker/Mic,Loudspeaker/Mic Flex,Standard (HQ),350,350,,6 months,45 mins,Dharampeth Hub
Apple,iPhone 11,Speaker/Mic,Loudspeaker/Mic Flex,Compatible (Budget),200,350,Universal Apple family,1-3 months,45 mins,Telipura Market
Apple,iPhone 11,Motherboard,Logic Board Repair,Premium (OEM),5200,2000,,12 months,1-2 days,Telipura Market
Apple,iPhone 11,Motherboard,Logic Board Repair,Standard (HQ),2850,2000,,6 months,1-2 days,"Modi No. 3, Sitabuldi"
Apple,iPhone 11,Motherboard,Logic Board Repair,Compatible (Budget),1550,2000,,1-3 months,1-2 days,Dharampeth Hub
Apple,iPhone 11,Buttons/Flex,Power/Volume Flex,Premium (OEM),650,350,,12 months,1 hour,Dharampeth Hub
Apple,iPhone 11,Buttons/Flex,Power/Volume Flex,Standard (HQ),350,350,,6 months,1 hour,"Modi No. 3, Sitabuldi"
Apple,iPhone 11,Buttons/Flex,Power/Volume Flex,Compatible (Budget),200,350,Universal Apple family,1-3 months,1 hour,Rahul Bazar
Apple,iPhone 11,Water damage,Water Damage Service,Premium (OEM),1300,1000,,Testing Only,5-6 hours,"Modi No. 3, Sitabuldi"
Apple,iPhone 11,Water damage,Water Damage Service,Standard (HQ),700,1000,,Testing Only,5-6 hours,Dharampeth Hub
Apple,iPhone 11,Water damage,Water Damage Service,Compatible (Budget),400,1000,,,5-6 hours,Dharampeth Hub
Apple,iPhone XR,Screen,Display Assembly,Premium (OEM),5500,800,,12 months,1-2 hours,Telipura Market
Apple,iPhone XR,Screen,Display Assembly,Standard (HQ),3050,800,,6 months,1-2 hours,"Modi No. 3, Sitabuldi"
Apple,iPhone XR,Screen,Display Assembly,Compatible (Budget),1650,800,,1 month,1-2 hours,Dharampeth Hub
Apple,iPhone XR,Battery,Li-ion Battery,Premium (OEM),1650,400,,12 months,45 mins,Dharampeth Hub
Apple,iPhone XR,Battery,Li-ion Battery,Standard (HQ),900,400,,6 months,45 mins,Telipura Market
Apple,iPhone XR,Battery,Li-ion Battery,Compatible (Budget),500,400,,1-3 months,45 mins,Dharampeth Hub
Apple,iPhone XR,Charging port,USB/Charging Sub-board,Premium (OEM),800,400,,12 months,1 hour,Rahul Bazar
Apple,iPhone XR,Charging port,USB/Charging Sub-board,Standard (HQ),450,400,,6 months,1 hour,Dharampeth Hub
Apple,iPhone XR,Charging port,USB/Charging Sub-board,Compatible (Budget),250,400,Universal Apple family,1-3 months,1 hour,Rahul Bazar
Apple,iPhone XR,Back Glass,Rear Panel,Premium (OEM),1400,500,,12 months,2-3 hours,Telipura Market
Apple,iPhone XR,Back Glass,Rear Panel,Standard (HQ),750,500,,6 months,2-3 hours,Rahul Bazar
Apple,iPhone XR,Back Glass,Rear Panel,Compatible (Budget),400,500,,,2-3 hours,Rahul Bazar
Apple,iPhone XR,Camera,Camera Module,Premium (OEM),3300,500,,12 months,1-2 hours,Rahul Bazar
Apple,iPhone XR,Camera,Camera Module,Standard (HQ),1800,500,,6 months,1-2 hours,Telipura Market
Apple,iPhone XR,Camera,Camera Module,Compatible (Budget),1000,500,,1-3 months,1-2 hours,Telipura Market
Apple,iPhone XR,Speaker/Mic,Loudspeaker/Mic Flex,Premium (OEM),550,350,,12 months,45 mins,Dharampeth Hub
Apple,iPhone XR,Speaker/Mic,Loudspeaker/Mic Flex,Standard (HQ),300,350,,6 months,45 mins,"Modi No. 3, Sitabuldi"
Apple,iPhone XR,Speaker/Mic,Loudspeaker/Mic Flex,Compatible (Budget),150,350,Universal Apple family,1-3 months,45 mins,"Modi No. 3, Sitabuldi"
Apple,iPhone XR,Motherboard,Logic Board Repair,Premium (OEM),4400,2000,,12 months,1-2 days,Telipura Market
Apple,iPhone XR,Motherboard,Logic Board Repair,Standard (HQ),2400,2000,,6 months,1-2 days,Dharampeth Hub
Apple,iPhone XR,Motherboard,Logic Board Repair,Compatible (Budget),1300,2000,,1-3 months,1-2 days,Dharampeth Hub
Apple,iPhone XR,Buttons/Flex,Power/Volume Flex,Premium (OEM),550,350,,12 months,1 hour,"Modi No. 3, Sitabuldi"
Apple,iPhone XR,Buttons/Flex,Power/Volume Flex,Standard (HQ),300,350,,6 months,1 hour,Telipura Market
Apple,iPhone XR,Buttons/Flex,Power/Volume Flex,Compatible (Budget),150,350,Universal Apple family,1-3 months,1 hour,Dharampeth Hub
Apple,iPhone XR,Water damage,Water Damage Service,Premium (OEM),1100,1000,,Testing Only,5-6 hours,"Modi No. 3, Sitabuldi"
Apple,iPhone XR,Water damage,Water Damage Service,Standard (HQ),600,1000,,Testing Only,5-6 hours,Dharampeth Hub
Apple,iPhone XR,Water damage,Water Damage Service,Compatible (Budget),350,1000,,,5-6 hours,Dharampeth Hub
Samsung,Galaxy S23,Screen,Display Assembly,Premium (OEM),16800,800,,12 months,1-2 hours,Dharampeth Hub
Samsung,Galaxy S23,Screen,Display Assembly,Standard (HQ),9250,800,,6 months,1-2 hours,"Modi No. 3, Sitabuldi"
Samsung,Galaxy S23,Screen,Display Assembly,Compatible (Budget),5050,800,,1 month,1-2 hours,Telipura Market
Samsung,Galaxy S23,Battery,Li-ion Battery,Premium (OEM),5050,400,,12 months,45 mins,Telipura Market
Samsung,Galaxy S23,Battery,Li-ion Battery,Standard (HQ),2750,400,,6 months,45 mins,Rahul Bazar
Samsung,Galaxy S23,Battery,Li-ion Battery,Compatible (Budget),1500,400,,1-3 months,45 mins,Rahul Bazar
Samsung,Galaxy S23,Charging port,USB/Charging Sub-board,Premium (OEM),2500,400,,12 months,1 hour,Dharampeth Hub
Samsung,Galaxy S23,Charging port,USB/Charging Sub-board,Standard (HQ),1400,400,,6 months,1 hour,"Modi No. 3, Sitabuldi"
Samsung,Galaxy S23,Charging port,USB/Charging Sub-board,Compatible (Budget),750,400,Universal Samsung family,1-3 months,1 hour,Rahul Bazar
Samsung,Galaxy S23,Back Glass,Rear Panel,Premium (OEM),4200,500,,12 months,2-3 hours,Dharampeth Hub
Samsung,Galaxy S23,Back Glass,Rear Panel,Standard (HQ),2300,500,,6 months,2-3 hours,"Modi No. 3, Sitabuldi"
Samsung,Galaxy S23,Back Glass,Rear Panel,Compatible (Budget),1250,500,,,2-3 hours,"Modi No. 3, Sitabuldi"
Samsung,Galaxy S23,Camera,Camera Module,Premium (OEM),10100,500,,12 months,1-2 hours,Dharampeth Hub
Samsung,Galaxy S23,Camera,Camera Module,Standard (HQ),5550,500,,6 months,1-2 hours,"Modi No. 3, Sitabuldi"
Samsung,Galaxy S23,Camera,Camera Module,Compatible (Budget),3000,500,,1-3 months,1-2 hours,Dharampeth Hub
Samsung,Galaxy S23,Speaker/Mic,Loudspeaker/Mic Flex,Premium (OEM),1700,350,,12 months,45 mins,Rahul Bazar
Samsung,Galaxy S23,Speaker/Mic,Loudspeaker/Mic Flex,Standard (HQ),900,350,,6 months,45 mins,Telipura Market
Samsung,Galaxy S23,Speaker/Mic,Loudspeaker/Mic Flex,Compatible (Budget),500,350,Universal Samsung family,1-3 months,45 mins,"Modi No. 3, Sitabuldi"
Samsung,Galaxy S23,Motherboard,Logic Board Repair,Premium (OEM),13450,2000,,12 months,1-2 days,"Modi No. 3, Sitabuldi"
Samsung,Galaxy S23,Motherboard,Logic Board Repair,Standard (HQ),7400,2000,,6 months,1-2 days,Dharampeth Hub
Samsung,Galaxy S23,Motherboard,Logic Board Repair,Compatible (Budget),4050,2000,,1-3 months,1-2 days,"Modi No. 3, Sitabuldi"
Samsung,Galaxy S23,Buttons/Flex,Power/Volume Flex,Premium (OEM),1700,350,,12 months,1 hour,Dharampeth Hub
Samsung,Galaxy S23,Buttons/Flex,Power/Volume Flex,Standard (HQ),900,350,,6 months,1 hour,Rahul Bazar
Samsung,Galaxy S23,Buttons/Flex,Power/Volume Flex,Compatible (Budget),500,350,Universal Samsung family,1-3 months,1 hour,Dharampeth Hub
Samsung,Galaxy S23,Water damage,Water Damage Service,Premium (OEM),3350,1000,,Testing Only,5-6 hours,"Modi No. 3, Sitabuldi"
Samsung,Galaxy S23,Water damage,Water Damage Service,Standard (HQ),1850,1000,,Testing Only,5-6 hours,Dharampeth Hub
Samsung,Galaxy S23,Water damage,Water Damage Service,Compatible (Budget),1000,1000,,,5-6 hours,"Modi No. 3, Sitabuldi"
Samsung,Galaxy S22,Screen,Display Assembly,Premium (OEM),14200,800,,12 months,1-2 hours,Rahul Bazar
Samsung,Galaxy S22,Screen,Display Assembly,Standard (HQ),7800,800,,6 months,1-2 hours,Rahul Bazar
Samsung,Galaxy S22,Screen,Display Assembly,Compatible (Budget),4250,800,,1 month,1-2 hours,Telipura Market
Samsung,Galaxy S22,Battery,Li-ion Battery,Premium (OEM),4250,400,,12 months,45 mins,Telipura Market
Samsung,Galaxy S22,Battery,Li-ion Battery,Standard (HQ),2350,400,,6 months,45 mins,Rahul Bazar
Samsung,Galaxy S22,Battery,Li-ion Battery,Compatible (Budget),1300,400,,1-3 months,45 mins,Dharampeth Hub
Samsung,Galaxy S22,Charging port,USB/Charging Sub-board,Premium (OEM),2150,400,,12 months,1 hour,"Modi No. 3, Sitabuldi"
Samsung,Galaxy S22,Charging port,USB/Charging Sub-board,Standard (HQ),1150,400,,6 months,1 hour,Dharampeth Hub
Samsung,Galaxy S22,Charging port,USB/Charging Sub-board,Compatible (Budget),650,400,Universal Samsung family,1-3 months,1 hour,Dharampeth Hub
Samsung,Galaxy S22,Back Glass,Rear Panel,Premium (OEM),3550,500,,12 months,2-3 hours,Telipura Market
Samsung,Galaxy S22,Back Glass,Rear Panel,Standard (HQ),1950,500,,6 months,2-3 hours,Telipura Market
Samsung,Galaxy S22,Back Glass,Rear Panel,Compatible (Budget),1050,500,,,2-3 hours,Dharampeth Hub
Samsung,Galaxy S22,Camera,Camera Module,Premium (OEM),8500,500,,12 months,1-2 hours,Dharampeth Hub
Samsung,Galaxy S22,Camera,Camera Module,Standard (HQ),4700,500,,6 months,1-2 hours,Rahul Bazar
Samsung,Galaxy S22,Camera,Camera Module,Compatible (Budget),2550,500,,1-3 months,1-2 hours,Rahul Bazar
Samsung,Galaxy S22,Speaker/Mic,Loudspeaker/Mic Flex,Premium (OEM),1400,350,,12 months,45 mins,Telipura Market
Samsung,Galaxy S22,Speaker/Mic,Loudspeaker/Mic Flex,Standard (HQ),800,350,,6 months,45 mins,"Modi No. 3, Sitabuldi"
Samsung,Galaxy S22,Speaker/Mic,Loudspeaker/Mic Flex,Compatible (Budget),450,350,Universal Samsung family,1-3 months,45 mins,Telipura Market
Samsung,Galaxy S22,Motherboard,Logic Board Repair,Premium (OEM),11350,2000,,12 months,1-2 days,Dharampeth Hub
Samsung,Galaxy S22,Motherboard,Logic Board Repair,Standard (HQ),6250,2000,,6 months,1-2 days,Rahul Bazar
Samsung,Galaxy S22,Motherboard,Logic Board Repair,Compatible (Budget),3400,2000,,1-3 months,1-2 days,Rahul Bazar
Samsung,Galaxy S22,Buttons/Flex,Power/Volume Flex,Premium (OEM),1400,350,,12 months,1 hour,Telipura Market
Samsung,Galaxy S22,Buttons/Flex,Power/Volume Flex,Standard (HQ),800,350,,6 months,1 hour,Telipura Market
Samsung,Galaxy S22,Buttons/Flex,Power/Volume Flex,Compatible (Budget),450,350,Universal Samsung family,1-3 months,1 hour,Telipura Market
Samsung,Galaxy S22,Water damage,Water Damage Service,Premium (OEM),2850,1000,,Testing Only,5-6 hours,"Modi No. 3, Sitabuldi"
Samsung,Galaxy S22,Water damage,Water Damage Service,Standard (HQ),1550,1000,,Testing Only,5-6 hours,Rahul Bazar
Samsung,Galaxy S22,Water damage,Water Damage Service,Compatible (Budget),850,1000,,,5-6 hours,Telipura Market
Samsung,Galaxy A73,Screen,Display Assembly,Premium (OEM),8900,800,,12 months,1-2 hours,"Modi No. 3, Sitabuldi"
Samsung,Galaxy A73,Screen,Display Assembly,Standard (HQ),4900,800,,6 months,1-2 hours,Rahul Bazar
Samsung,Galaxy A73,Screen,Display Assembly,Compatible (Budget),2650,800,,1 month,1-2 hours,"Modi No. 3, Sitabuldi"
Samsung,Galaxy A73,Battery,Li-ion Battery,Premium (OEM),2650,400,,12 months,45 mins,Telipura Market
Samsung,Galaxy A73,Battery,Li-ion Battery,Standard (HQ),1450,400,,6 months,45 mins,"Modi No. 3, Sitabuldi"
Samsung,Galaxy A73,Battery,Li-ion Battery,Compatible (Budget),800,400,,1-3 months,45 mins,Rahul Bazar
Samsung,Galaxy A73,Charging port,USB/Charging Sub-board,Premium (OEM),1350,400,,12 months,1 hour,Rahul Bazar
Samsung,Galaxy A73,Charging port,USB/Charging Sub-board,Standard (HQ),750,400,,6 months,1 hour,Rahul Bazar
Samsung,Galaxy A73,Charging port,USB/Charging Sub-board,Compatible (Budget),400,400,Universal Samsung family,1-3 months,1 hour,Dharampeth Hub
Samsung,Galaxy A73,Back Glass,Rear Panel,Premium (OEM),2200,500,,12 months,2-3 hours,Rahul Bazar
Samsung,Galaxy A73,Back Glass,Rear Panel,Standard (HQ),1200,500,,6 months,2-3 hours,"Modi No. 3, Sitabuldi"
Samsung,Galaxy A73,Back Glass,Rear Panel,Compatible (Budget),650,500,,,2-3 hours,Rahul Bazar
Samsung,Galaxy A73,Camera,Camera Module,Premium (OEM),5350,500,,12 months,1-2 hours,Telipura Market
Samsung,Galaxy A73,Camera,Camera Module,Standard (HQ),2950,500,,6 months,1-2 hours,Rahul Bazar
Samsung,Galaxy A73,Camera,Camera Module,Compatible (Budget),1600,500,,1-3 months,1-2 hours,Dharampeth Hub
Samsung,Galaxy A73,Speaker/Mic,Loudspeaker/Mic Flex,Premium (OEM),900,350,,12 months,45 mins,Telipura Market
Samsung,Galaxy A73,Speaker/Mic,Loudspeaker/Mic Flex,Standard (HQ),500,350,,6 months,45 mins,Rahul Bazar
Samsung,Galaxy A73,Speaker/Mic,Loudspeaker/Mic Flex,Compatible (Budget),250,350,Universal Samsung family,1-3 months,45 mins,Telipura Market
Samsung,Galaxy A73,Motherboard,Logic Board Repair,Premium (OEM),7100,2000,,12 months,1-2 days,"Modi No. 3, Sitabuldi"
Samsung,Galaxy A73,Motherboard,Logic Board Repair,Standard (HQ),3900,2000,,6 months,1-2 days,Dharampeth Hub
Samsung,Galaxy A73,Motherboard,Logic Board Repair,Compatible (Budget),2150,2000,,1-3 months,1-2 days,Telipura Market
Samsung,Galaxy A73,Buttons/Flex,Power/Volume Flex,Premium (OEM),900,350,,12 months,1 hour,Telipura Market
Samsung,Galaxy A73,Buttons/Flex,Power/Volume Flex,Standard (HQ),500,350,,6 months,1 hour,Rahul Bazar
Samsung,Galaxy A73,Buttons/Flex,Power/Volume Flex,Compatible (Budget),250,350,Universal Samsung family,1-3 months,1 hour,Dharampeth Hub
Samsung,Galaxy A73,Water damage,Water Damage Service,Premium (OEM),1800,1000,,Testing Only,5-6 hours,Rahul Bazar
Samsung,Galaxy A73,Water damage,Water Damage Service,Standard (HQ),1000,1000,,Testing Only,5-6 hours,"Modi No. 3, Sitabuldi"
Samsung,Galaxy A73,Water damage,Water Damage Service,Compatible (Budget),550,1000,,,5-6 hours,"Modi No. 3, Sitabuldi"
Samsung,Galaxy A54,Screen,Display Assembly,Premium (OEM),7500,800,,12 months,1-2 hours,Rahul Bazar
Samsung,Galaxy A54,Screen,Display Assembly,Standard (HQ),4100,800,,6 months,1-2 hours,Rahul Bazar
Samsung,Galaxy A54,Screen,Display Assembly,Compatible (Budget),2250,800,,1 month,1-2 hours,Dharampeth Hub
